yeara,mktcap,nFIRM,comp,nCEO
1999,242291.14,22,,
2000,248481.63,21,,
2001,233442.16,26,,
2002,218680.95,22,,
2003,252427.7,23,,
2004,283177.78,19,,
2005,285683.31,17,,
1991,62481.156,28,,
1992,63367.164,33,,
1993,56230.797,44,,
1994,60476.191,42,,
1995,56389.57,56,,
1996,71769.719,50,,
1997,95503.125,45,,
1998,131305.47,39,,
1999,159960.42,39,,
2000,106341,71,,
2001,70052.781,91,,
2002,56875.047,99,,
2003,64046.336,101,,
2004,67046.234,98,,
1991,6539.5869,335,1456.9489,451
1992,7654.1982,305,,
1994,10592.276,245,,
1995,12015.263,268,3156.9607,488
1996,10965.757,319,,
1997,12516.638,316,,
1998,8588.1875,470,,
1991,8981.0723,261,4093.8901,116
1992,9068.7861,264,4657.9883,121
1993,10477.561,245,4078.1226,224
1994,9450.5342,272,4881.6401,190
1995,22439.502,158,5682.6626,234
1996,23907.586,164,5155.9385,324
1997,25023.152,191,6741.0967,256
1998,26299.68,186,8438.9268,253
1999,20899.621,279,5730.0771,433
2000,21559.949,289,5341.5161,474
2001,20651.736,275,4868.3345,474
2002,19804.654,271,5332.6118,397
2003,21617.016,285,12357.471,119
2004,27150.689,235,,
2005,34959.988,156,,
1991,10187.393,244,2871.5244,197
1992,9763.5938,249,2698.7373,296
1991,4985.4297,412,2579.5435,232
1992,5914.186,378,3101.1587,238
1993,7498.3398,321,3623.0894,279
1994,5745.625,422,,
1991,77268.711,21,3067.7385,174
1992,79050.547,20,2586.3477,312
1993,93820.938,20,5929.7554,120
1994,94048.063,23,4377.4292,228
1995,104908.46,21,9782.8701,95
1996,108533.13,26,19328.426,47
1997,118154.58,29,12620.846,110
1998,126704.74,43,16396.182,122
1999,105095.78,68,15440.526,159
2000,109785.27,66,19111.955,96
2001,97314.102,68,16137.541,82
2002,87163.852,67,18083.814,60
2003,88913,76,17851.273,61
2004,79399.688,77,,
2005,47309.48,124,,
1997,23785.104,199,,
1998,27013.242,182,8411.5977,254
1999,45575.871,153,,
2000,47071.227,145,,
1991,43544.059,51,,
1992,44102.145,57,,
1993,46923.023,58,,
1994,48675.387,55,,
1995,65500.824,50,,
1996,64395.871,59,,
1997,63937.281,75,,
1998,63182.801,86,,
1999,60909.902,120,,
2000,59522.48,112,,
2001,62620.906,98,,
2002,56440.891,102,,
2003,62500.402,103,,
2004,55756.777,119,,
2005,52594.25,116,,
1991,11310.486,230,2452.6494,253
1992,12865.759,208,2608.7734,308
1993,11795.694,226,3532.988,288
1994,13059.192,214,4811.6958,195
1995,16854.672,213,8096.1499,137
1996,17969.111,217,9453.4941,148
1997,21685.508,208,13256.213,100
1998,21315.871,234,11521.423,176
1999,20436.842,282,,
1991,15774.039,165,4246.4194,107
1992,17486.863,149,5360.6538,101
1993,18585.322,158,23363.352,8
1994,16302.374,182,7235.0757,90
1995,18547.959,187,7280.2524,166
1996,19619.451,202,18826.459,53
1997,24148.344,197,,
1998,21129.949,237,6334.9712,365
1999,18995.654,299,9962.6377,253
2000,16607.893,349,18315.387,105
2001,18115.141,309,9348.2334,214
2002,16528.641,315,4321.105,485
2003,18141.059,328,,
2004,18725.662,335,,
2005,18975.662,299,,
1991,10612.454,239,,
1992,9168.627,261,,
1993,10222.605,251,,
1994,9712.3447,266,,
1995,14474.164,240,,
