"educv","heightv","BMIv","healthv","consv","extrav","agreev","emov","autov","riskyv"
2,163,18.818924,4,-0.064787,0.463434,-0.130833,0.100732,-0.098279,0.395264
1,173,21.718065,4,-0.064058,0.472124,-0.675813,-0.283975,-0.655808,-1.983185
1,170,31.141869,3,0.901065,1.163238,-0.271388,0.87797,0.121873,-4.286798
3,160,21.875,3,-0.189097,-0.238336,-0.529184,-0.041205,-0.064454,0.151809
1,160,20.703125,3,-0.455688,0.321146,-0.00801,-0.130935,-0.098279,0.459023
2,173,22.720438,1,1.191454,-0.785196,-1.884383,-1.527533,-0.628009,0.123256
1,175,19.265306,4,-0.321664,0.177874,-0.40636,-0.130781,-0.374031,-0.064036
2,172,27.041645,3,-0.630024,0.74752,-0.295194,0.020672,0.177472,0.43073
2,179,21.847008,4,0.326114,0.330818,-0.303129,-0.316129,-0.187703,0.400474
2,164,26.397978,3,0.048352,0.614413,-0.380694,-0.182182,-0.114026,0.281677
2,175,24.489796,3,0.47058,-1.090101,-0.150425,-0.351443,-0.011142,-0.010599
2,163,20.700817,3,0.902522,-0.540293,0.306701,-0.434343,-1.743066,-1.191344
1,163,18.442545,4,-0.197354,0.04575,-0.414296,-0.397846,-0.528819,-0.049478
2,162,20.195093,2,0.901065,-0.74847,0.75509,0.610409,0.617777,-0.160699
3,172,23.323418,4,0.633017,0.879644,-0.493721,0.215039,-0.869934,0.067277
2,174,19.157087,3,0.080408,0.064604,-0.303129,0.18708,0.375852,0.102325
2,172,20.957273,3,-0.34182,0.878661,0.303546,-0.185521,0.661323,-0.059687
1,159,25.711008,3,0.059523,-0.218007,0.477702,-0.423074,0.927354,0.269544
2,169,23.108435,3,0.385854,-0.464875,-0.513313,-0.159488,-1.445542,0.409778
1,165,23.875114,3,-0.207068,-0.200627,0.267518,0.199372,0.741027,0.225355
1,168,20.195578,2,0.040095,-0.485204,-0.529184,-0.832694,0.133926,0.681982
1,173,25.393431,3,-0.762591,0.054932,0.346943,-0.394554,0.574185,0.530121
2,180,19.135803,4,-0.496,-0.238336,-0.041612,-0.347996,0.121873,0.275521
2,170,21.799309,3,-0.18764,0.319671,-0.40636,-0.438455,-0.754998,0.721726
2,184,18.903591,3,0.213703,-0.362261,0.241851,-0.300493,0.496815,0.283897
2,180,20.987654,3,-0.990327,0.025913,-0.525463,-0.212594,-0.615956,0.209554
2,176,18.401342,4,0.203261,-0.635691,0.087287,-0.205787,0.270635,-2.002932
2,172,20.957273,4,0.366426,0.047224,0.013443,0.84175,-0.17939,-0.618836
2,172,22.985397,3,-0.197354,-0.351114,0.095222,-0.264632,0.270635,-2.06571
2,172,27.041645,3,-0.18764,-0.502584,-0.303129,-0.337035,0.121873,-0.075402
2,175,23.510204,4,0.306686,0.047224,-0.529184,-0.459012,-0.628009,0.251941
2,180,21.604939,3,-0.886901,0.198203,-0.041612,-0.192909,0.276662,-0.619576
2,178,24.302486,2,0.491465,0.055423,1.034339,-0.186513,0.088048,0.051717
2,163,25.593737,3,-1.54585,1.713046,-0.576796,-0.054512,0.189524,0.710499
