"educm","heightm","BMIm","healthm","consm","extram","agreem","emom","autom","riskym"
2,180,23.148148,3,-0.18327,1.996641,2.039364,0.944742,1.014445,-1.360991
2,195,20.512821,3,-0.884716,0.443597,-0.796776,-0.399754,-0.213216,0.103649
2,178,24.302486,3,-0.332835,0.736864,-0.685609,-0.661408,-0.380057,0.262129
1,171,23.93899,2,0.633017,-0.625527,-0.659943,0.642528,0.443503,-0.013929
2,188,24.049343,3,0.078951,0.329836,0.271239,0.108261,-0.937585,0.065034
3,178,25.880571,3,-0.094657,0.18853,-0.40636,-0.10752,-0.120052,0.190504
1,196,24.468971,4,-0.190554,-0.503567,0.216185,0.211279,-0.144158,0.698906
2,193,26.846357,4,-1.42154,0.064604,0.079351,-0.119854,0.397624,0.37112
3,192,25.499132,3,-0.618853,0.329836,-0.285398,-0.121856,-0.380057,-0.050618
3,187,20.875633,4,-0.762591,-0.209808,0.311481,0.281169,0.986692,0.226257
2,176,27.440599,4,-1.163934,-0.504058,0.198453,0.002882,0.357773,0.504738
2,178,25.880571,3,-0.475116,0.046241,-0.267666,-0.326853,-0.628009,0.021438
3,180,24.691359,4,0.191362,-0.503075,0.354879,0.209479,0.23681,0.028961
2,190,23.545706,4,-0.618853,1.013242,-0.148564,0.566062,0.43145,0.634223
2,173,24.391058,3,-0.723736,-0.804541,-0.303129,0.440203,0.62983,0.173864
2,184,26.583176,3,-0.621038,0.178857,-0.017806,-0.080662,-0.005116,0.02138
2,195,24.983564,4,-0.321664,-0.085391,0.243712,0.065066,-0.413882,0.462529
2,178,22.724403,4,0.345542,-1.337952,-0.287258,0.456918,0.685428,0.601704
1,178,26.827421,4,-0.053616,-0.086374,-0.312925,-0.615464,0.270635,0.38291
1,182,25.359257,4,0.080408,0.879644,-0.287258,-0.729986,-0.949638,0.175272
2,183,22.992624,3,-0.075958,-0.228663,-0.962997,-0.14456,-0.042681,0.418121
2,184,20.675804,4,-0.619582,-0.237844,-0.025741,0.15436,0.276662,0.361859
3,173,25.059307,3,-0.208525,0.614413,0.235776,-0.209941,-0.640062,0.133686
3,177,33.515274,4,-1.029182,-1.318606,0.232055,1.112603,0.673375,0.504298
1,175,26.12245,2,-0.31195,-0.371934,-0.267666,-0.644029,-0.937585,0.149642
2,168,22.675737,3,0.212246,0.189513,0.031174,0.311063,-0.70912,0.001651
2,176,25.180784,3,0.080408,0.879644,-1.310015,-0.355525,-1.433489,0.386121
2,186,22.835011,4,-0.205611,0.879644,0.735498,-0.067834,-0.267407,-3.003805
2,176,26.472107,3,0.615046,-1.316641,0.477702,-1.124998,-0.144158,0.632298
2,172,21.971336,3,0.326114,-0.180299,0.216185,0.464401,-0.08856,-0.390838
1,184,27.76465,3,-0.455688,0.168693,-0.249935,0.309673,-0.467194,0.2837
2,185,24.543463,4,-0.208525,0.046241,-0.057482,-0.618849,0.121873,0.431755
2,180,25,3,0.919036,-0.767815,0.216185,1.490711,1.800485,-0.349992
3,176,21.952478,3,0.223417,-0.219481,-0.267666,0.00809,0.034736,-1.518755
2,181,23.808798,3,-0.762591,0.898007,-0.790701,-0.429965,-0.374031,-0.052624
3,188,28.010412,4,-0.055801,-1.336969,0.132545,0.588876,0.062535,0.248474
2,190,26.31579,3,0.069237,1.030623,0.227841,-0.205787,0.066275,0.386901
3,183,20.902386,4,-0.475116,-0.788144,-0.303129,-0.106285,-0.132105,0.224615
2,183,23.888441,3,-0.454231,-0.540293,0.997016,1.112603,1.169279,0.280934
2,193,22.282478,4,-0.723736,0.063622,-0.806572,0.311287,-0.683607,0.463071
2,159,22.942131,1,-0.198082,0.775555,-0.215768,-0.493295,0.109821,-1.636752
2,184,20.085066,4,-0.248837,0.367544,-0.897089,-0.696628,0.661323,-0.07043
2,175,22.857143,3,-0.064787,0.054932,-0.144843,-0.103568,-0.40183,0.122679
3,189,20.716105,4,-0.473659,0.879644,0.75509,0.717187,-0.08856,0.463036
3,193,22.819405,3,-0.341092,0.311473,-0.267666,0.108711,-0.374031,0.191149
2,178,23.04002,3,0.89208,0.329344,-0.537119,-0.451272,-0.092253,0.656542
3,180,20.370371,3,-0.218967,-0.370951,-0.182166,0.226369,0.115847,-0.071254
2,186,27.459822,3,-0.886901,-0.768307,0.190518,0.120493,0.611751,0.554344
3,193,22.282478,3,-0.352262,0.197711,-0.174231,-0.175127,0.143646,0.488697
1,192,20.887587,4,0.507979,-0.086374,0.095222,1.35835,0.115847,0.237843
1,178,26.196188,2,-0.054345,-0.503567,0.356739,-0.046803,0.425424,0.070646
2,198,21.681461,4,-0.186183,-0.541275,0.029313,0.57748,-0.361978,-0.009876
2,176,27.117769,3,-0.474387,0.452287,-0.78698,0.117683,-0.17939,0.095496
2,192,29.839409,3,0.615046,0.330818,-1.587403,-0.483043,-1.179511,-0.031896
2,175,24.163265,3,-0.331378,-0.370951,-0.303129,-0.351878,-0.132105,0.016848
1,182,21.132713,3,-0.074501,-0.493894,-0.432027,0.036623,0.1279,0.683127
2,190,22.437674,4,-0.741707,0.746537,-0.410082,0.240698,0.177472,0.119449
2,190,22.160666,3,0.366426,0.349181,-0.006149,0.179411,-0.318432,-4.286798
1,180,22.530865,3,0.594162,-0.257681,0.271239,0.980444,-1.191564,0.082516
2,181,30.524099,3,-0.454231,0.878661,0.75509,1.090635,0.109821,-0.092726
2,187,28.596758,4,-1.008298,0.737355,0.450175,0.132804,0.280355,-0.138442
2,183,24.784258,3,0.499722,1.021441,0.232055,0.986243,-0.144158,0.306959
3,175,32.653061,2,-0.596512,-0.10572,-0.929395,0.478605,0.542693,-0.034419
2,179,24.343809,4,-0.18764,0.879644,-1.032627,0.079543,-1.544686,-2.640458
2,197,25.251875,4,0.099835,-0.749452,0.997016,0.826551,0.859703,0.175113
2,174,23.781214,3,0.346999,0.59605,-0.006149,-0.42284,0.189524,0.042095
2,183,27.173101,3,-0.342548,-0.067029,-0.947127,-0.087338,-0.661834,0.310388
2,182,28.680111,2,-0.98887,0.046241,0.271239,1.112603,0.189524,0.276005
3,193,24.967113,3,-0.229409,0.632776,-1.068089,-0.422484,-0.120052,0.656598
2,183,22.096807,3,-0.053616,0.31049,-0.693544,-0.276047,-0.126079,-0.103785
2,185,21.329437,4,0.490736,-0.360296,-0.251796,0.161416,-0.782797,0.267639
2,181,28.08217,3,-0.495272,-0.919777,-0.562786,-0.078776,-0.253068,0.266356
2,189,19.596315,4,-0.87573,-0.485204,0.481916,0.542295,0.577925,0.441299
3,170,24.913494,3,0.367883,-0.749452,0.75509,0.471405,-0.707713,0.177553
1,186,21.389755,4,-0.18764,0.330818,-0.78698,0.193736,-0.925533,0.589028
3,178,26.827421,4,-0.599426,0.187547,-1.066229,-0.046696,-0.395803,0.359254
3,188,26.029879,4,-1.256918,-1.090101,-0.283537,0.582092,0.133926,0.123459
2,189,21.835896,3,0.346999,0.614413,0.477702,0.33979,-0.144158,0.519734
2,188,22.634676,3,-0.34182,-1.185499,0.346943,0.02464,0.772566,-0.185117
2,181,26.861206,3,0.633017,-1.754162,0.279174,1.249853,-0.219242,-0.098538
3,180,20.987654,4,0.080408,-0.74847,0.790552,0.738188,-0.132105,0.396384
2,186,22.545959,3,0.078951,0.04575,-0.408221,-0.112469,-0.562644,-0.130439
1,184,22.743383,3,0.367883,-0.237353,0.532756,0.44986,-0.881987,-0.638018
2,167,25.816629,2,0.634474,-0.238336,-0.045333,0.212105,0.617777,0.535015
2,196,19.523115,2,-0.198082,0.187547,-0.328795,-0.055125,0.496815,-0.144417
3,173,30.739416,3,-0.18764,-0.219973,-0.564646,0.05838,0.177472,0.370761
2,186,26.014568,3,-0.496,0.736864,-0.249935,0.344787,0.32254,0.501851
1,172,25.351542,3,-0.207068,-1.033047,-1.103552,-0.842755,-0.330485,-3.011199
2,184,22.152647,3,-0.198811,0.330818,-0.164435,0.08145,-0.231295,0.787687
2,178,26.511805,3,-0.743163,-0.238336,0.75509,0.995286,0.617777,0.415114
3,177,22.343515,3,0.346999,-1.05141,1.016607,0.731607,0.673375,0.079311
3,178,26.511805,4,-1.98532,0.217057,0.703757,0.405883,0.986692,0.239189
3,179,19.974407,4,0.087936,-0.797817,-1.31795,-0.233289,-0.516766,0.215855
3,181,22.587833,3,-0.513971,0.044276,-2.106716,-0.029581,0.21363,0.187056
2,170,21.107267,3,0.080408,0.349181,0.255368,0.204388,-0.374031,0.150207
1,183,25.680075,4,-0.208525,-0.21899,-0.509592,-0.169717,-0.107999,-2.057678
1,173,24.391058,4,-0.741707,0.329836,1.223071,-0.098923,1.466803,0.242595
2,198,20.151005,3,-0.227952,-1.335986,0.45811,-0.348183,1.478856,-0.3456
2,185,22.790358,4,-1.554107,0.870954,-0.162574,-0.006068,-0.407856,0.511052
2,185,23.374725,3,-0.783476,1.446832,-1.099831,-0.710833,0.697481,0.441381
3,194,24.710384,3,0.614318,0.189021,-1.310015,-0.770414,-1.433489,0.629072
3,175,23.183674,4,0.078951,0.328853,-0.822443,-0.333436,-0.937585,0.496076
2,185,26.004383,2,-0.209981,-0.219481,-0.297054,-0.159052,0.143646,0.36122
2,192,21.430122,3,-0.741707,-0.645855,0.452035,-0.073675,0.611751,0.711101
3,187,22.877405,3,-0.331378,0.311473,-0.006149,0.2129,-0.628009,0.363264
2,182,21.132713,3,-1.29723,0.328853,-0.596388,-0.977971,0.121873,0.31791
1,185,24.251278,2,0.634474,-1.05141,0.532756,0.460802,-0.17565,0.2352
2,179,28.08901,2,0.080408,0.472616,-0.632415,-0.537546,0.384165,0.135546
3,185,19.284149,3,0.078951,-0.806507,-0.248075,0.189311,-0.925533,0.317267
3,179,24.343809,3,0.191362,0.311473,-0.529184,0.106568,-0.473221,0.453091
2,177,25.216253,3,-0.198082,-0.228663,-0.285398,-0.136145,-0.07048,0.355323
2,186,20.233553,3,-0.608411,0.737847,-0.041612,0.175683,-0.286893,0.346522
2,180,25.308641,4,-1.143778,0.188039,-0.303129,0.140286,-0.132105,0.251084
2,173,26.395803,3,-0.197354,-0.238336,-0.303129,-0.285503,0.43145,-3.540695
2,178,26.511805,2,-0.066972,-0.646838,0.120888,0.740214,-0.187703,0.413668
